@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA
 -1+1-1+1-1+1-1+1+1+1,3988,332,607.765151024,noise,42,8
 -1+1-1+1-1+1-1-1+1+1,27848,1114,1029.13260794,noise,42,8
 -1+1-1+1-1+1-1+1-1+1,3810,215,272.092133999,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,4848,404,1068.8675108,noise,43,7
 -1+1-1+1-1+1-1+1+1+1,199038,6236,334.329457045,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,20268,1634,621.549139977,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,29804,2002,1149.65619993,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,30494,2502,676.161000967,noise,41,9
 -1+1-1+1-1+1-1-1+1+1,68737,2871,601.602319002,noise,43,7
 -1+1-1+1-1+1-1+1-1+1,1505,124,1292.060817,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,24591,1467,540.223214149,noise,35,15
 -1+1-1+1-1+1-1+1-1-1,16400,1617,515.652789831,noise,37,13
 -1+1-1+1-1+1-1+1-1+1,37300,1821,298.561135054,noise,39,11
 -1+1-1+1-1+1-1+1-1+1,269142,8109,1245.98122096,noise,38,12
 -1+1-1+1-1+1-1-1,3,5,64.2411921024,noise,3,5
 -1+1-1+1-1+1-1+1-1+1,496,49,73.3341109753,noise,33,17
 -1+1-1+1-1+1-1+1+1-1,37219,2624,804.068572998,noise,42,8
 -1+1-1+1-1+1-1+1+1+1,790,46,714.994045973,noise,46,4
 -1+1-1+1-1+1-1+1+1+1,2470,230,1103.8218379,noise,46,4
 -1+1-1+1-1+1-1-1+1+1,27157,1983,532.605782032,noise,43,7
 -1+1-1+1-1+1-1+1-1+1,32572,1360,539.42406106,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,77554,2823,509.670453072,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,9697,643,941.510653973,noise,33,17
 -1+1-1+1-1+1-1+1-1+1,8757,450,239.136593819,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,61741,2657,812.610817194,noise,46,4
 -1+1-1+1-1+1-1+1+1+1,149,22,117.210237026,noise,43,7
 -1+1-1+1-1+1-1+1+1-1,17394,1052,291.81197691,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,34643,1858,630.783236027,noise,41,9
 -1+1-1+1-1+1-1+1+1-1,56678,2882,691.309821844,noise,43,7
 -1+1-1+1-1+1-1+1-1+1,46964,1936,1710.5302639,noise,29,21
 -1+1-1+1-1+1-1+1-1+1,28574,1906,1231.49048901,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,22542,1363,853.419898987,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,57565,2444,862.015208006,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,5672,436,229.225641012,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,664,52,626.243979931,noise,42,8
 -1+1-1+1-1+1-1+1+1+1,13966,975,739.232743025,noise,46,4
 -1+1-1+1-1+1-1+1+1+1,2477,153,78.1622149944,noise,46,4
 -1+1-1+1-1+1-1+1+1+1,6520,387,491.154820919,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,3149,141,170.783121109,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,77007,2810,543.915651083,noise,41,9
